DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,longitude,latitude,x_utm44n,y_utm44n
Baleshwar,Odisha,21,8,377,86.917045,21.489779,1113726.5,2387992.3
Ballia,Uttar Pradesh,9,62,193,84.105463,25.875384,811209.7,2865566.6
Balrampur,Uttar Pradesh,9,51,182,82.377593,27.484972,636094.5,3040907.3
Banas Kantha,Gujarat,24,2,469,72.031936,24.283524,-412622.8,2715152.7
Banda,Uttar Pradesh,9,39,170,80.561799,25.465005,455948.8,2816511.1
Bandipore,Jammu & Kashmir,1,9,9,74.828318,34.504036,-66948.0,3835381.5
Bangalore Rural,Karnataka,29,29,583,77.575011,13.225668,128728.6,1464632.7
Bangalore,Karnataka,29,18,572,77.595936,12.950835,130589.3,1434160.3
Banka,Bihar,10,23,225,86.840858,24.853693,1090761.4,2761433.1
Bankura,West Bengal,19,13,339,87.134957,23.140980,1128901.0,2572393.0
Banswara,Rajasthan,8,27,125,74.363902,23.475174,-178716.3,2611828.0
Bara Banki,Uttar Pradesh,9,45,176,81.327403,26.938642,532501.0,2979681.4
Bargarh,Odisha,21,1,370,83.353441,21.220225,744280.8,2348337.4
Baramula,Jammu & Kashmir,1,8,8,74.463392,34.162740,-102973.6,3799565.2
Baran,Rajasthan,8,30,128,76.756590,24.995174,71528.5,2771125.9
Barddhaman,West Bengal,19,9,335,87.767732,23.427770,1192471.2,2607187.0
Bareilly,Uttar Pradesh,9,19,150,79.422282,28.449429,345512.4,3148002.9
Barmer,Rajasthan,8,17,115,71.473268,25.735584,-458302.9,2881209.2
Barnala,Punjab,3,20,54,75.504800,30.397194,-28273.7,3375642.1
Barpeta,Assam,18,4,303,91.010841,26.340183,1502065.1,2952462.8
Barwani,Madhya Pradesh,23,24,441,75.021316,21.787373,-118859.7,2421306.8
Bastar,Chhattisgarh,22,15,414,81.770259,19.421963,580865.0,2147698.5
Basti,Uttar Pradesh,9,54,185,82.631087,26.818345,662100.9,2967356.7
Bathinda,Punjab,3,12,46,75.040659,30.182766,-74223.6,3354085.5
Bauda,Odisha,21,22,391,84.177645,20.646815,831147.9,2286300.7
Begusarai,Bihar,10,20,222,86.130844,25.495287,1016094.3,2829756.4
Belgaum,Karnataka,29,1,555,74.822982,16.119442,-161586.6,1792076.6
Bellary,Karnataka,29,11,565,76.533357,15.109563,19624.5,1675332.2
Betul,Madhya Pradesh,23,30,447,77.871040,21.877963,176633.6,2422611.7
Bhadrak,Odisha,21,9,378,86.625402,20.985859,1085400.4,2330897.7
Bhagalpur,Bihar,10,22,224,87.084374,25.270485,1113358.8,2808836.2
Bhandara,Maharashtra,27,10,506,79.750896,21.129211,370286.5,2336957.6
Bharatpur,Rajasthan,8,7,105,77.278828,27.245655,131457.3,3019128.2
Bharuch,Gujarat,24,21,488,72.925147,21.786403,-336755.8,2431169.6
Bhavnagar,Gujarat,24,14,481,71.841052,21.666564,-450552.7,2424137.5
Bhilwara,Rajasthan,8,24,122,74.729072,25.479968,-131115.9,2832993.0
Bhind,Madhya Pradesh,23,3,420,78.722647,26.421080,272870.1,2924326.4
Bhiwani,Haryana,6,13,81,75.967617,28.717943,8179.0,3187132.0
Bhojpur,Bihar,10,29,231,84.543681,25.469046,856366.4,2821629.2
Bhopal,Madhya Pradesh,23,27,444,77.396076,23.477960,131810.7,2601048.8
Bid,Maharashtra,27,27,523,75.869679,18.930415,-40764.3,2100997.2
Bidar,Karnataka,29,4,558,77.226454,17.952829,100180.7,1989029.2
Bijapur,Chhattisgarh,22,18,417,80.776100,18.843216,476412.5,2083494.6
Bijapur,Karnataka,29,3,557,75.953096,16.793724,-38377.0,1863599.6
Bijnor,Uttar Pradesh,9,3,134,78.398756,29.386983,247543.2,3253674.6
Bikaner,Rajasthan,8,3,101,73.177397,28.177724,-269203.7,3141785.5
Bilaspur,Chhattisgarh,22,7,406,81.961668,22.351317,599021.2,2472029.7
Bilaspur,Himachal Pradesh,2,8,30,76.671902,31.372313,88247.0,3478970.6
Birbhum,West Bengal,19,8,334,87.666478,23.953559,1179331.9,2665179.3
Bishnupur,Manipur,14,4,275,93.801093,24.535221,1803711.6,2774647.5
Bokaro,Jharkhand,20,10,355,85.988030,23.691536,1008978.1,2628993.5
Bongaigaon,Assam,18,20,319,90.624781,26.365205,1462984.7,2952272.8
Budaun,Uttar Pradesh,9,18,149,78.945362,28.115296,298174.0,3111680.3
Bulandshahr,Uttar Pradesh,9,11,142,78.012305,28.357574,207144.3,3140442.5
Buldana,Maharashtra,27,4,500,76.408266,20.511057,20860.1,2274773.8
Bundi,Rajasthan,8,23,121,75.777479,25.470040,-25442.0,2827313.4
Burhanpur,Madhya Pradesh,23,50,467,76.370196,21.372051,19645.9,2370407.7
Buxar,Bihar,10,30,232,84.101822,25.491436,811844.0,2823000.8
Cachar,Assam,18,17,316,92.856422,24.811249,1703843.3,2796822.1
Central,NCT of Delhi,7,6,95,77.219675,28.643118,130393.1,3174297.4
Chamba,Himachal Pradesh,2,1,23,76.354250,32.677454,64240.7,3625081.4
Chamoli,Uttarakhand,5,2,57,79.578739,30.495348,363601.8,3374534.6
Champawat,Uttarakhand,5,10,65,80.069735,29.298847,409652.0,3241455.0
Champhai,Mizoram,15,4,284,93.240017,23.529404,1755974.7,2656244.6
Chamrajnagar,Karnataka,29,24,578,77.099755,11.956894,75053.4,1324787.0
Chandauli,Uttar Pradesh,9,65,196,83.261087,25.137431,727949.3,2782076.8
Chandel,Manipur,14,9,280,94.093184,24.235492,1837040.4,2743756.0
Chandigarh,Chandigarh,4,1,55,76.781472,30.730057,95968.2,3407295.2
Chandrapur,Maharashtra,27,13,509,79.443771,20.117928,337316.5,2225291.3
Changlang,Arunanchal Pradesh,12,9,253,96.345176,27.362646,2028120.4,3122150.7
Chatra,Jharkhand,20,2,347,84.887101,24.173543,895032.0,2678933.4
Chennai,Tamil Nadu,33,2,603,80.252310,13.064698,418938.4,1444410.0
Chhatarpur,Madhya Pradesh,23,8,425,79.666144,24.796652,365172.4,2743089.9
Chhindwara,Madhya Pradesh,23,38,455,78.855490,22.121379,278793.5,2447821.4
Chikkaballapura,Karnataka,29,28,582,77.836189,13.578232,157567.8,1503302.9
Chikmagalur,Karnataka,29,16,570,75.691344,13.454274,-75352.2,1493587.8
Chirang,Assam,18,21,320,90.616292,26.642974,1459784.4,2983234.8
Chitradurga,Karnataka,29,12,566,76.516426,14.167503,15730.0,1570895.9
Chitrakoot,Uttar Pradesh,9,40,171,81.089623,25.205111,509028.7,2787662.8
Chittaurgarh,Rajasthan,8,28,126,74.779796,24.828686,-129352.1,2760361.4
Chittoor,Andhra Pradesh,28,23,554,79.014303,13.467228,285039.6,1489673.3
Churachandpur,Manipur,14,3,274,93.426876,24.289772,1767713.7,2743465.7
Churu,Rajasthan,8,4,102,74.698516,28.345505,-118279.1,3151661.4
Coimbatore,Tamil Nadu,33,31,632,76.975580,10.874524,59833.5,1205025.5
Cuddalore,Tamil Nadu,33,16,617,79.450898,11.535031,331063.6,1275595.9
Y.s.r.,Andhra Pradesh,28,20,551,78.783565,14.459869,261076.5,1599740.8
Cuttack,Odisha,21,12,381,85.705745,20.449593,991253.2,2268293.9
Dadra & Nagar Haveli,Dadara & Nagar Havelli,26,1,496,73.070653,20.195053,-330457.8,2252993.1
Dakshin Bastar Dantewada,Chhattisgarh,22,17,416,81.379640,18.499958,540075.1,2045542.5
Dakshin Dinajpur,West Bengal,19,5,331,88.588184,25.364006,1264874.2,2827036.1
Dakshina Kannada,Karnataka,29,21,575,75.266651,12.838221,-123076.4,1426189.2
Daman,Daman & Diu,25,2,495,72.852354,20.414065,-352224.1,2278538.4
Damoh,Madhya Pradesh,23,11,428,79.527307,23.812785,349983.7,2634278.0
Darbhanga,Bihar,10,13,215,86.025289,26.113796,1002831.2,2898008.5
Darjiling,West Bengal,19,1,327,88.394682,26.913465,1235437.7,2998411.0
Darrang,Assam,18,26,325,92.037403,26.449265,1604501.7,2973213.0
Data Not Available,Jammu & Kashmir,99,99,0,74.903832,35.530808,-53009.7,3949045.1
Datia,Madhya Pradesh,23,5,422,78.568758,25.850458,256334.1,2861378.2
Davanagere,Karnataka,29,13,567,75.954770,14.408032,-44484.2,1598829.6
Debagarh,Odisha,21,4,373,84.803714,21.465936,894289.2,2378509.8
Dehradun,Uttarakhand,5,5,60,77.973247,30.463505,209376.6,3374041.4
Deoghar,Jharkhand,20,5,350,86.741141,24.327974,1083097.0,2702600.7
Deoria,Uttar Pradesh,9,59,190,83.836566,26.422737,782923.4,2925618.8
Dewas,Madhya Pradesh,23,20,437,76.456403,22.745090,33150.1,2522468.9
Dhalai,Tripura,16,3,291,91.925906,23.843072,1617213.4,2680269.3
Dhamtari,Chhattisgarh,22,13,412,81.810500,20.556139,584483.0,2273235.4
Dhanbad,Jharkhand,20,9,354,86.471943,23.829260,1057864.0,2646108.1
Dhar,Madhya Pradesh,23,21,438,75.104139,22.497429,-107193.4,2499870.1
Dharmapuri,Tamil Nadu,33,29,630,78.195788,12.096885,194733.6,1338833.5
Dharwad,Karnataka,29,8,562,75.153839,15.389352,-128297.7,1709918.7
Dhaulpur,Rajasthan,8,8,106,77.703343,26.680788,171894.3,2955321.8
Dhemaji,Assam,18,9,308,94.777818,27.577746,1867458.6,3127513.5
Dhenkanal,Odisha,21,14,383,85.526213,20.826175,971315.2,2309538.5
Dhubri,Assam,18,2,301,90.022375,26.067486,1404729.5,2914632.1
Dhule,Maharashtra,27,2,498,74.601095,21.109877,-165574.3,2347732.6
Dibang Valley,Arunanchal Pradesh,12,13,257,95.902753,28.951303,1960955.4,3295912.9
Dibrugarh,Assam,18,11,310,95.056174,27.366443,1898150.9,3106906.6
Dindigul,Tamil Nadu,33,11,612,77.820035,10.389760,151745.1,1150250.5
Dindori,Madhya Pradesh,23,36,453,81.056101,22.888939,505754.0,2531226.6
Diu,Daman & Diu,25,1,494,70.939868,20.720892,-551546.9,2324157.5
Doda,Jammu & Kashmir,1,16,16,75.649701,33.100814,471.8,3675222.9
Dohad,Gujarat,24,18,485,74.115950,22.857274,-207423.9,2544282.5
Dumka,Jharkhand,20,17,362,87.266637,24.319676,1136646.3,2703996.7
Dungarpur,Rajasthan,8,26,124,73.855135,23.732488,-229492.7,2642980.3
Durg,Chhattisgarh,22,10,409,81.353843,21.191189,536727.6,2343348.3
Dimapur,Nagaland,13,5,265,93.785084,25.778525,1788566.5,2914378.2
East,NCT of Delhi,7,4,93,77.298023,28.629248,138011.4,3172518.8
East,Sikkim,11,4,244,88.678047,27.292758,1261123.9,3042337.8
East Garo Hills,Meghalaya,17,2,294,90.634221,25.735169,1469182.3,2881960.1
East Godavari,Andhra Pradesh,28,14,545,82.011832,17.188549,607599.1,1900694.2
East Kameng,Arunanchal Pradesh,12,3,247,92.968009,27.441116,1687725.6,3093007.5
East Khasi Hills,Meghalaya,17,6,298,91.800651,25.380404,1590617.7,2851481.9
East Nimar,Madhya Pradesh,23,49,466,76.571439,21.936186,42345.2,2432380.0
East Siang,Arunanchal Pradesh,12,7,251,95.163393,28.123786,1898910.9,3193508.0
Ernakulam,Kerala,32,8,595,76.472682,10.057658,3425.3,1115218.9
Erode,Tamil Nadu,33,9,610,77.414302,11.515201,108743.8,1275392.8
Etah,Uttar Pradesh,9,70,201,78.713186,27.512064,274115.4,3045236.2
Etawah,Uttar Pradesh,9,30,161,79.096551,26.759287,310727.7,2961190.4
Faizabad,Uttar Pradesh,9,46,177,81.992424,26.658914,598761.8,2949041.5
Faridabad,Haryana,6,20,88,77.354765,28.332720,142564.8,3139461.2
Faridkot,Punjab,3,11,45,74.779169,30.610863,-96844.0,3403016.6
Farrukhabad,Uttar Pradesh,9,28,159,79.461343,27.430377,347916.7,3035045.8
Fatehabad,Haryana,6,10,78,75.579159,29.576428,-25438.1,3284143.6
Fatehgarh Sahib,Punjab,3,6,40,76.365316,30.632221,55621.4,3398014.2
Fatehpur,Uttar Pradesh,9,41,172,80.806992,25.873335,480663.5,2861670.8
Firozabad,Uttar Pradesh,9,16,147,78.539867,27.180605,256264.6,3008830.4
Firozpur,Punjab,3,9,43,74.400903,30.560487,-133540.9,3399496.5
Gadag,Karnataka,29,7,561,75.666278,15.431066,-72965.5,1713115.7
Gajapati,Odisha,21,20,389,84.160680,19.173383,832448.3,2123025.8
Ganderbal,Jammu & Kashmir,1,11,11,75.199964,34.294666,-34099.1,3810091.8
Gandhinagar,Gujarat,24,6,473,72.692335,23.255005,-351841.9,2596249.3
Ganganagar,Rajasthan,8,1,99,73.563155,29.395477,-222630.9,3274904.1
Ganjam,Odisha,21,19,388,84.671068,19.626933,885115.0,2174346.7
Garhchiroli,Maharashtra,27,12,508,80.241083,19.784918,420504.2,2187858.8
Garhwa,Jharkhand,20,1,346,83.699326,24.101049,774404.7,2668055.0
Garhwal,Uttarakhand,5,6,61,78.769623,29.892869,284627.1,3309004.3
Gautam Buddha Nagar,Uttar Pradesh,9,10,141,77.547057,28.397862,161640.1,3146129.6
Gaya,Bihar,10,34,236,84.935995,24.699076,898347.3,2737350.8
Ghaziabad,Uttar Pradesh,9,9,140,77.706707,28.738921,178334.8,3183508.9
Ghazipur,Uttar Pradesh,9,64,195,83.556211,25.622446,756685.5,2836350.4
Giridih,Jharkhand,20,4,349,86.110286,24.296357,1019033.7,2696578.9
Goalpara,Assam,18,3,302,90.605506,26.055456,1463631.8,2917526.6
Godda,Jharkhand,20,6,351,87.312123,24.859581,1138517.0,2764225.8
Golaghat,Assam,18,14,313,93.833443,26.457267,1785834.4,2991199.3
Gonda,Uttar Pradesh,9,52,183,82.025569,27.084110,601679.4,2996165.6
Gondiya,Maharashtra,27,11,507,80.205352,21.148971,417493.5,2338841.3
Gopalganj,Bihar,10,15,217,84.377309,26.442745,836834.7,2929140.6
Gorakhpur,Uttar Pradesh,9,57,188,83.361434,26.657783,735035.2,2950706.4
Gulbarga,Karnataka,29,25,579,76.869488,17.260174,60630.4,1913042.1
Gumla,Jharkhand,20,21,366,84.534676,23.102262,862125.6,2559226.8
Guna,Madhya Pradesh,23,41,458,77.200820,24.554642,115069.6,2720944.0
Guntur,Andhra Pradesh,28,17,548,80.091523,16.298807,402942.9,1802204.2
Gurdaspur,Punjab,3,1,35,75.386443,32.024197,-30464.8,3556924.8
Gurgaon,Haryana,6,18,86,76.940774,28.368061,102067.2,3144680.3
Gwalior,Madhya Pradesh,23,4,421,78.219572,26.011378,221700.4,2879906.7
Hailakandi,Assam,18,19,318,92.588773,24.494118,1679467.4,2758846.4
Hamirpur,Himachal Pradesh,2,6,28,76.525766,31.668041,75674.3,3512350.5
Hamirpur,Uttar Pradesh,9,37,168,79.878936,25.731610,387548.3,2846439.6
Hanumangarh,Rajasthan,8,2,100,74.549011,29.271390,-127373.4,3255369.3
Haora,West Bengal,19,15,341,88.067519,22.526034,1228107.3,2508317.3
Harda,Madhya Pradesh,23,31,448,77.121103,22.234178,100058.1,2463875.6
Hardoi,Uttar Pradesh,9,24,155,80.162509,27.328706,417149.4,3023121.4
Hardwar,Uttarakhand,5,13,68,78.001213,29.871812,210335.9,3308358.9
Hassan,Karnataka,29,20,574,76.109064,12.995356,-30973.4,1441727.5
Mahamaya Nagar,Uttar Pradesh,9,13,144,78.161576,27.577588,219772.3,3053626.2
Haveri,Karnataka,29,10,564,75.417714,14.738084,-101696.3,1636831.3
Hazaribagh,Jharkhand,20,15,360,85.413211,23.989979,949206.5,2660160.4
Hingoli,Maharashtra,27,16,512,77.118900,19.615157,92796.3,2173530.3
Hisar,Haryana,6,12,80,75.815609,29.215092,-4273.0,3242971.3
Hoshangabad,Madhya Pradesh,23,32,449,77.988932,22.588285,190392.1,2501071.0
Hoshiarpur,Punjab,3,4,38,75.858765,31.626010,12125.5,3510480.0
Hugli,West Bengal,19,12,338,88.079813,22.884702,1227464.6,2548295.6
Hyderabad,Andhra Pradesh,28,5,536,78.469940,17.389835,231183.0,1924456.1
Idukki,Kerala,32,9,596,77.027463,9.882198,64141.0,1094984.2
Imphal East,Manipur,14,7,278,93.942121,24.816553,1815195.2,2807700.2
Imphal West,Manipur,14,6,277,93.154398,24.681600,1735704.5,2784980.9
Indore,Madhya Pradesh,23,22,439,75.782176,22.713058,-36378.0,2521204.2
Jabalpur,Madhya Pradesh,23,34,451,79.976503,23.232563,395287.1,2569633.8
Jagatsinghapur,Odisha,21,11,380,86.343651,20.221820,1058807.4,2245053.8
Jaintia Hills,Meghalaya,17,7,299,92.381076,25.368353,1649822.4,2855096.3
Jaipur,Rajasthan,8,12,110,75.724310,26.980451,-23957.5,2995234.4
Jaisalmer,Rajasthan,8,16,114,70.903385,27.077400,-504108.4,3035554.6
Jajapur,Odisha,21,13,382,86.152197,20.855928,1036517.4,2314807.2
Jalandhar,Punjab,3,3,37,75.566577,31.212615,-17914.7,3465915.1
Jalaun,Uttar Pradesh,9,34,165,79.387426,26.091189,338729.0,2886780.8
Jalgaon,Maharashtra,27,3,499,75.489905,20.935515,-73566.1,2324886.8
Jalna,Maharashtra,27,18,514,75.981886,19.818195,-26042.5,2199187.1
Jalor,Rajasthan,8,18,116,72.211864,25.097771,-388348.1,2804823.8
Jalpaiguri,West Bengal,19,2,328,89.084430,26.660517,1306099.7,2974465.0
Jammu,Jammu & Kashmir,1,21,21,74.788371,32.762518,-82289.3,3642082.1
Jamnagar,Gujarat,24,10,477,69.913560,22.252184,-647456.2,2503144.1
Jamtara,Jharkhand,20,18,363,86.917231,23.976913,1102677.5,2664347.4
Jamui,Bihar,10,36,238,86.295214,24.783801,1035767.6,2751406.8
Janjgir-champa,Chhattisgarh,22,6,405,82.737935,21.926232,679503.7,2425678.7
Jashpur,Chhattisgarh,22,3,402,83.866362,22.800429,794265.7,2524281.6
Jaunpur,Uttar Pradesh,9,63,194,82.575913,25.746000,658063.8,2848499.8
Jhabua,Madhya Pradesh,23,47,464,74.671810,22.890590,-149971.9,2545408.8
Jhajjar,Haryana,6,15,83,76.649414,28.604751,74428.3,3171941.8
Jhalawar,Rajasthan,8,31,129,76.196770,24.328857,12328.0,2699071.0
Jhansi,Uttar Pradesh,9,35,166,78.953975,25.505448,294361.2,2822498.6
Jharsuguda,Odisha,21,2,371,83.954734,21.805985,805502.0,2414280.4
Jhunjhunun,Rajasthan,8,5,103,75.552407,28.091906,-35618.0,3119396.9
Jodhpur,Rajasthan,8,15,113,72.788028,26.750830,-318216.1,2985349.7
Jorhat,Assam,18,13,312,94.256546,26.793961,1824676.2,3033515.7
Junagadh,Gujarat,24,12,479,70.553985,21.221482,-588512.2,2382856.4
Jyotiba Phule Nagar,Uttar Pradesh,9,6,137,78.329360,28.813549,239363.5,3190257.7
Kachchh,Gujarat,24,1,468,69.959958,23.628397,-630872.3,2657124.2
Kaimur (bhabua),Bihar,10,31,233,83.606667,24.991128,763115.7,2766495.1
Kaithal,Haryana,6,5,73,76.418226,29.814022,57036.5,3306995.5
Kalahandi,Odisha,21,26,395,83.109231,19.867699,720859.0,2198222.9
Kamrup,Assam,18,22,321,91.406148,26.118011,1543912.4,2930791.2
Kamrup Metropolitan,Assam,18,23,322,91.821599,26.090025,1586152.3,2931121.2
Kancheepuram,Tamil Nadu,33,3,604,79.947867,12.695165,385761.8,1403656.1
Kandhamal,Odisha,21,21,390,84.047243,20.128896,818612.7,2228662.6
Kangra,Himachal Pradesh,2,2,24,76.317689,32.108750,58038.1,3562101.9
Uttar Bastar Kanker,Chhattisgarh,22,14,413,81.129188,20.147721,513501.0,2227833.5
Kannauj,Uttar Pradesh,9,29,160,79.687944,27.011972,369831.2,2988438.3
Kanniyakumari,Tamil Nadu,33,28,629,77.361429,8.306941,99078.0,920072.0
Kannur,Kerala,32,2,589,75.526238,12.000633,-96702.6,1332563.4
Kanpur Dehat,Uttar Pradesh,9,32,163,79.857130,26.444783,386053.7,2925448.4
Kanpur Nagar,Uttar Pradesh,9,33,164,80.215779,26.380524,421770.1,2918063.5
Kansiram Nagar,Uttar Pradesh,9,71,202,78.845370,27.777216,287688.7,3074384.8
Kapurthala,Punjab,3,2,36,75.403072,31.354059,-32723.2,3482407.0
Karbi Anglong,Assam,18,15,314,93.148707,26.065452,1720778.5,2940371.3
Kargil,Jammu & Kashmir,1,4,4,76.484452,33.966601,82672.4,3767652.2
Karimganj,Assam,18,18,317,92.377457,24.581302,1656954.3,2766798.1
Karimnagar,Andhra Pradesh,28,3,534,79.240902,18.549654,314339.3,2051905.8
Karnal,Haryana,6,6,74,76.884748,29.687462,101680.0,3291246.8
Karur,Tamil Nadu,33,12,613,78.133091,10.842978,186520.9,1200093.8
Kasaragod,Kerala,32,1,588,75.153682,12.462818,-136327.3,1384756.0
Kathua,Jammu & Kashmir,1,7,7,75.593799,32.566266,-7800.1,3616123.7
Katihar,Bihar,10,10,212,87.644986,25.545446,1168500.3,2842113.1
Katni,Madhya Pradesh,23,33,450,80.401464,23.754200,439006.4,2627141.8
Kaushambi,Uttar Pradesh,9,43,174,81.453591,25.488742,545589.3,2819144.9
Kendrapara,Odisha,21,10,379,86.609699,20.553126,1085436.6,2282776.3
Kendujhar,Odisha,21,6,375,85.705072,21.537081,987625.0,2388951.2
Khagaria,Bihar,10,21,223,86.603146,25.512183,1063614.2,2833557.9
Khammam,Andhra Pradesh,28,10,541,80.687300,17.596912,466822.3,1945617.7
Kheda,Gujarat,24,16,483,73.016733,22.876275,-320746.2,2552150.3
Kheri,Uttar Pradesh,9,22,153,80.667047,28.122514,467300.2,3110818.8
Khordha,Odisha,21,17,386,85.511418,20.089963,972024.4,2227829.2
Khunti,Jharkhand,20,20,365,85.274546,22.997713,938353.8,2549663.2
Kinnaur,Himachal Pradesh,2,12,34,78.412625,31.596794,254507.2,3498650.2
Kiphire,Nagaland,13,9,269,94.825142,25.844856,1893814.0,2932767.8
Kishanganj,Bihar,10,8,210,87.935283,26.295615,1193355.5,2927071.9
Kishtwar,Jammu & Kashmir,1,18,18,76.014617,33.529576,36859.1,3721145.1
Koch Bihar,West Bengal,19,3,329,89.343576,26.291065,1334740.1,2934965.1
Kodagu,Karnataka,29,22,576,75.803275,12.324364,-65735.5,1367908.9
Kodarma,Jharkhand,20,3,348,85.595598,24.437036,966162.1,2710359.1
Kohima,Nagaland,13,10,270,94.129076,25.781039,1823582.2,2918168.5
Kokrajhar,Assam,18,1,300,90.130629,26.514508,1412089.0,2965290.3
Kolar,Karnataka,29,27,581,78.217693,13.139328,198345.0,1454209.5
Kolasib,Mizoram,15,2,282,92.726936,24.197972,1696504.0,2726812.9
Kolhapur,Maharashtra,27,34,530,74.159752,16.469725,-231583.7,1833318.3
Kolkata,West Bengal,19,16,342,88.355840,22.555257,1257763.5,2513016.7
Kollam,Kerala,32,13,600,76.874870,8.960991,46166.3,993087.4
Koppal,Karnataka,29,6,560,76.221866,15.561749,-12832.0,1726205.9
Koraput,Odisha,21,29,398,82.721266,18.816546,681382.4,2081407.8
Korba,Chhattisgarh,22,5,404,82.611911,22.532313,665770.3,2492642.2
Koriya,Chhattisgarh,22,1,400,82.237190,23.468141,626354.4,2595887.7
Kota,Rajasthan,8,29,127,76.129317,25.124130,8614.7,2787574.8
Kottayam,Kerala,32,10,597,76.650919,9.637065,22404.9,1068324.4
Kozhikode,Kerala,32,4,591,75.834361,11.484801,-64080.7,1274658.1
Krishna,Andhra Pradesh,28,16,547,80.800667,16.562644,478733.7,1831184.1
Krishnagiri,Tamil Nadu,33,30,631,78.032694,12.489038,177444.1,1382438.9
Kulgam,Jammu & Kashmir,1,15,15,74.860575,33.588189,-70109.4,3733433.7
Kullu,Himachal Pradesh,2,4,26,77.400218,31.904467,159529.7,3535503.9
Kupwara,Jammu & Kashmir,1,1,1,74.266054,34.531932,-118473.5,3841797.1
Kurnool,Andhra Pradesh,28,21,552,78.006150,15.533622,178824.8,1719597.0
Kurukshetra,Haryana,6,4,72,76.786201,30.045070,93588.6,3331270.5
Kurung Kumey,Arunanchal Pradesh,12,12,256,93.392404,27.999829,1723804.7,3159951.1
Kushinagar,Uttar Pradesh,9,58,189,83.934855,26.861710,791613.5,2974495.1
Lahul & Spiti,Himachal Pradesh,2,3,25,77.616134,32.480506,181975.1,3598745.0
Lakhimpur,Assam,18,8,307,94.125810,27.168957,1807011.8,3074301.6
Lakhisarai,Bihar,10,25,227,86.131164,25.155466,1017575.7,2792031.6
Lalitpur,Uttar Pradesh,9,36,167,78.561883,24.653336,253235.6,2728754.0
Latehar,Jharkhand,20,14,359,84.443226,23.717787,851117.6,2627229.4
Latur,Maharashtra,27,28,524,76.775085,18.360523,53330.4,2035267.3
Lawangtlai,Mizoram,15,7,287,92.713197,22.383600,1711797.3,2522912.5
Leh (ladakh),Jammu & Kashmir,1,3,3,78.435920,34.338836,264128.2,3802704.8
Lohardaga,Jharkhand,20,11,356,84.670022,23.475683,874954.9,2600967.5
Lohit,Arunanchal Pradesh,12,15,259,96.195209,27.840119,2006190.6,3174209.1
Longleng,Nagaland,13,8,268,94.800309,26.555401,1882591.6,3012593.9
Lower Dibang Valley,Arunanchal Pradesh,12,14,258,95.880395,28.372582,1967060.5,3230340.3
Lower Subansiri,Arunanchal Pradesh,12,11,255,93.939079,27.625542,1782804.6,3123639.5
Lucknow,Uttar Pradesh,9,26,157,80.906732,26.841571,490733.4,2968891.4
Ludhiana,Punjab,3,7,41,75.838153,30.808741,5918.3,3419824.4
Lunglei,Mizoram,15,6,286,92.722582,22.971923,1707489.1,2589085.5
Madhepura,Bihar,10,11,213,86.896288,25.825892,1091605.9,2869695.1
Madhubani,Bihar,10,5,207,86.217927,26.405665,1020829.4,2931176.2
Madurai,Tamil Nadu,33,22,623,78.006294,9.920963,171682.8,1098152.7
Maharajganj,Uttar Pradesh,9,56,187,83.533259,27.202529,750933.9,3011404.5
Mahasamund,Chhattisgarh,22,12,411,82.612820,21.207099,667402.6,2345920.6
Mahbubnagar,Andhra Pradesh,28,7,538,78.146134,16.498531,195322.6,1826237.6
Mahe,Puducherry,34,3,636,75.541538,11.726678,-95627.7,1302109.9
Mahendragarh,Haryana,6,16,84,76.143167,28.172889,22909.5,3125916.2
Mahesana,Gujarat,24,4,471,72.461924,23.608974,-373229.5,2637124.6
Mahoba,Uttar Pradesh,9,38,169,79.696648,25.344272,368840.7,2803708.0
Mainpuri,Uttar Pradesh,9,17,148,79.059074,27.180573,307717.6,3007923.7
Malappuram,Kerala,32,5,592,76.155781,11.132066,-29552.2,1234911.9
Maldah,West Bengal,19,6,332,88.092326,25.136681,1216066.9,2798972.6
Malkangiri,Odisha,21,30,399,81.956331,18.258068,601095.2,2019001.9
Mamit,Mizoram,15,1,281,92.467184,23.754013,1673869.4,2674743.4
Mandi,Himachal Pradesh,2,5,27,76.992944,31.638285,119893.5,3507322.6
Mandla,Madhya Pradesh,23,37,454,80.513442,22.640413,450005.3,2503796.2
Mandsaur,Madhya Pradesh,23,16,433,75.405543,24.211338,-68688.9,2689035.4
Mandya,Karnataka,29,19,573,76.797957,12.610356,43251.3,1397708.5
Mansa,Punjab,3,13,47,75.438946,29.908375,-37269.6,3321659.1
Marigaon,Assam,18,5,304,92.281964,26.284769,1630797.9,2956946.8
Mathura,Uttar Pradesh,9,14,145,77.627641,27.596807,167084.7,3057082.0
Mau,Uttar Pradesh,9,61,192,83.562880,26.043059,756446.4,2882971.6
Mayurbhanj,Odisha,21,7,376,86.411179,21.895172,1059560.7,2431097.7
Medak,Andhra Pradesh,28,4,535,78.215686,17.888002,204964.8,1979997.8
Meerut,Uttar Pradesh,9,7,138,77.793924,29.035726,187749.1,3216186.8
Mewat,Haryana,6,19,87,77.046561,27.981665,111048.2,3101473.8
Mirzapur,Uttar Pradesh,9,68,199,82.619196,24.985413,663426.0,2764308.1
