DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,longitude,latitude,x_utm44n,y_utm44n
Purba Champaran,Bihar,10,2,204,84.924678,26.618450,890877.5,2950180.5
Purba Medinipur,West Bengal,19,19,345,87.774394,22.020759,1200337.7,2450698.2
Purbi Singhbhum,Jharkhand,20,12,357,86.452660,22.582566,1061101.7,2507585.2
Puri,Odisha,21,18,387,85.720894,19.876548,994647.3,2204759.7
Purnia,Bihar,10,9,211,87.407076,25.816137,1143037.2,2871023.1
Puruliya,West Bengal,19,14,340,86.418326,23.277370,1054709.6,2584611.3
Rae Bareli,Uttar Pradesh,9,27,158,81.231360,26.228795,523109.0,2901042.5
Raichur,Karnataka,29,5,559,76.893147,16.089474,60476.6,1783203.4
Raigarh,Chhattisgarh,22,4,403,83.306032,22.085823,737933.5,2444127.4
Raigarh,Maharashtra,27,24,520,73.214837,18.517195,-323759.8,2065259.3
Raipur,Chhattisgarh,22,11,410,82.173957,21.071287,621956.4,2330486.4
Raisen,Madhya Pradesh,23,29,446,78.118367,23.217070,205073.9,2570475.0
Rajouri,Jammu & Kashmir,1,6,6,74.398775,33.310174,-115035.0,3705183.1
Rajgarh,Madhya Pradesh,23,25,442,76.734644,23.861183,65430.1,2645409.3
Rajkot,Gujarat,24,9,476,70.775040,22.262738,-557501.3,2497920.8
Rajnandgaon,Chhattisgarh,22,9,408,80.819271,21.039406,481222.0,2326519.5
Rajsamand,Rajasthan,8,25,123,73.892302,25.216325,-217153.9,2807917.8
Ramanagara,Karnataka,29,30,584,77.336499,12.678547,101973.0,1404383.6
Ramanathapuram,Tamil Nadu,33,25,626,78.673284,9.440134,244511.0,1044363.9
Ramban,Jammu & Kashmir,1,17,17,75.186098,33.323005,-41493.4,3702220.3
Ramgarh,Jharkhand,20,16,361,85.560568,23.630726,965510.1,2620780.7
Rampur,Uttar Pradesh,9,5,136,79.105475,28.795481,315093.1,3186799.9
Ranchi,Jharkhand,20,19,364,85.370764,23.331312,947121.6,2586959.8
Rangareddy,Andhra Pradesh,28,6,537,78.177394,17.288044,199914.7,1913618.2
Ratlam,Madhya Pradesh,23,17,434,75.090087,23.501002,-104134.0,2611436.8
Ratnagiri,Maharashtra,27,32,528,73.456833,17.273728,-303670.6,1925610.7
Rayagada,Odisha,21,27,396,83.513845,19.362278,764070.6,2142835.0
Reasi,Jammu & Kashmir,1,20,20,74.822304,33.207410,-76189.7,3691333.0
Rewa,Madhya Pradesh,23,13,430,81.589623,24.755159,559616.7,2737965.8
Rewari,Haryana,6,17,85,76.543344,28.235759,62522.4,3131379.0
Ri Bhoi,Meghalaya,17,5,297,91.891024,25.870437,1595245.1,2907122.1
Rohtak,Haryana,6,14,82,76.529180,28.914536,63947.5,3206753.4
Rohtas,Bihar,10,32,234,84.027735,24.979411,805670.9,2766080.7
Rudraprayag,Uttarakhand,5,3,58,79.058902,30.530302,313771.6,3379152.4
Rupnagar,Punjab,3,17,51,76.486418,31.059371,69163.5,3444948.3
Sabar Kantha,Gujarat,24,5,472,73.163690,23.659346,-300826.8,2638582.4
Sagar,Madhya Pradesh,23,10,427,78.758873,23.848030,271746.2,2639207.1
Saharanpur,Uttar Pradesh,9,1,132,77.547691,29.949577,166762.7,3318214.0
Saharsa,Bihar,10,12,214,86.589798,25.816587,1060835.6,2867311.5
Sahibganj,Jharkhand,20,7,352,87.679559,25.008064,1174977.1,2782524.0
Sahibzada Ajit Singh Nagar,Punjab,3,18,52,76.737759,30.680913,91570.3,3402000.5
Saiha,Mizoram,15,8,288,93.012174,22.376698,1743112.2,2524636.8
Salem,Tamil Nadu,33,7,608,78.222146,11.674058,197137.3,1291998.4
Samastipur,Bihar,10,19,221,85.903654,25.776965,992045.2,2860155.9
Samba,Jammu & Kashmir,1,22,22,75.109293,32.575231,-53319.0,3619546.1
Sambalpur,Odisha,21,3,372,84.280934,21.451912,840083.7,2375727.1
Sangli,Maharashtra,27,35,531,74.769901,17.112018,-163846.0,1902596.9
Sangrur,Punjab,3,19,53,75.868619,30.213520,5824.9,3353600.2
Sant Kabir Nagar,Uttar Pradesh,9,55,186,83.034814,26.790160,702283.3,2964813.3
Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,9,67,198,82.464226,25.348074,647345.9,2804296.5
Saraikela-kharsawan,Jharkhand,20,24,369,85.951560,22.844935,1008466.3,2534898.8
Saran (chhapra),Bihar,10,17,219,84.825311,25.904655,883314.0,2870720.8
Satara,Maharashtra,27,31,527,74.173789,17.668588,-225388.4,1966679.6
Satna,Madhya Pradesh,23,12,429,80.833337,24.532723,483119.0,2713218.6
Sehore,Madhya Pradesh,23,28,445,77.128585,22.991185,103014.4,2547788.0
Senapati,Manipur,14,1,272,94.040150,25.196507,1821079.5,2851456.2
Seoni,Madhya Pradesh,23,39,456,79.690237,22.315650,365098.0,2468351.3
Serchhip,Mizoram,15,5,285,92.959209,23.265956,1729360.1,2624147.4
Shahdol,Madhya Pradesh,23,43,460,81.472768,23.629001,548223.0,2613232.5
Shahid Bhagat Singh Nagar,Punjab,3,5,39,76.155963,31.109126,37828.0,3451805.2
Shahjahanpur,Uttar Pradesh,9,21,152,79.844933,27.975739,386401.1,3095052.1
Shajapur,Madhya Pradesh,23,19,436,76.345680,23.579682,24721.5,2615426.4
Sheikhpura,Bihar,10,26,228,85.828919,25.131943,987134.3,2788289.8
Sheohar,Bihar,10,3,205,85.289930,26.527042,927634.2,2941211.4
Sheopur,Madhya Pradesh,23,1,418,77.010434,25.752466,99697.8,2854333.3
Shimla,Himachal Pradesh,2,11,33,77.632389,31.197043,179084.1,3456328.2
Shimoga,Karnataka,29,14,568,75.220650,14.043553,-124940.5,1560210.3
Shivpuri,Madhya Pradesh,23,6,423,77.812508,25.362674,179196.2,2808932.1
Shrawasti,Uttar Pradesh,9,50,181,81.883967,27.654697,587191.3,3059264.5
Shupiyan,Jammu & Kashmir,1,13,13,74.818688,33.730668,-73054.5,3749498.8
Sivasagar,Assam,18,12,311,94.819994,27.007254,1878941.5,3063731.1
Siddharth Nagar,Uttar Pradesh,9,53,184,82.873443,27.274054,685440.6,3018179.5
Sidhi,Madhya Pradesh,23,45,462,81.835283,24.219784,584814.7,2678813.7
Sikar,Rajasthan,8,13,111,75.287545,27.636597,-64071.7,3070019.0
Simdega,Jharkhand,20,22,367,84.566369,22.580073,866775.8,2501422.1
Sindhudurg,Maharashtra,27,33,529,73.739876,16.134315,-278024.5,1797543.9
Singrauli,Madhya Pradesh,23,46,463,82.420729,24.216670,644270.8,2678949.0
Sirmaur,Himachal Pradesh,2,10,32,77.430961,30.667558,157994.8,3398197.5
Sirohi,Rajasthan,8,19,117,72.774314,24.758906,-333534.3,2763426.4
Sirsa,Haryana,6,11,79,74.901465,29.614793,-91022.3,3291683.4
Sitamarhi,Bihar,10,4,206,85.539693,26.576001,952369.2,2947503.5
Sitapur,Uttar Pradesh,9,23,154,80.857390,27.517716,485916.3,3043787.3
Sivaganga,Tamil Nadu,33,21,622,78.598660,9.915088,236682.9,1096974.9
Siwan,Bihar,10,16,218,84.389549,26.160759,838876.8,2897909.9
Solan,Himachal Pradesh,2,9,31,76.909542,31.042924,109518.7,3441554.5
Solapur,Maharashtra,27,30,526,75.482901,17.789756,-85483.8,1975556.5
Subarnapur,Odisha,21,23,392,83.824863,20.931536,793807.6,2317159.5
Sonbhadra,Uttar Pradesh,9,69,200,83.053516,24.402122,708240.8,2700290.4
Sonipat,Haryana,6,8,76,76.879495,29.061720,98717.8,3221840.5
Sonitpur,Assam,18,7,306,92.939251,26.782366,1691969.9,3018829.0
South,NCT of Delhi,7,9,98,77.227386,28.501361,130651.7,3158550.6
South,Sikkim,11,3,243,88.387874,27.286759,1232304.0,3039920.1
South 24 Parganas,West Bengal,19,17,343,88.416896,22.115958,1266498.4,2464411.9
