DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,_sum,_sum_1,_sum_2,_sum_3,_sum_4,_sum_5,_sum_6,_sum_7,_sum_8,_sum_9,_sum_10,_sum_11,_sum,_sum_1,_sum_2,_sum_3,_sum_4,_sum_5,_sum_6,_sum_7,_sum_8,_sum_9,_sum_10,_sum_11
Anand,Gujarat,24,15,482,20785.85999,24269.03,21501.53998,21179.97999,20315.25999,19347.26999,17451.36999,14681.55,14072.72998,21364.34,20772.3,22436.72998,18633.55999,20983.62998,21781.89999,22927.85999,22172.68998,19154.22,14378.34998,10037.27998,7906.229997,25141.12998,17686.87,18204.93999
Anantapur,Andhra Pradesh,28,22,553,35460.21999,63286.45998,71816.82986,74728.28984,62245.23986,50342.30993,47047.54996,5099.909996,50061.01992,55560.26993,53973.67001,60198.58993,42736.80001,49330.51997,64553.50998,61764.68996,63836.2499,61356.91993,36257.51997,47871.72999,45201.37999,55806.40995,47410.59999,41905.71999
Anantnag,Jammu & Kashmir,1,14,14,6483.349997,8478.390001,7022.900012,7864.600005,9242.309998,5889.779991,7975.270012,8323.430008,9124.370009,8917.940013,8970.849978,9507.619962,7021.490011,7585.170004,8103.779992,7998.000009,7824.870008,7393.039999,7664.740001,6781.079999,7679.899999,9445.259971,8114.209985,7799.150013
Anjaw,Arunanchal Pradesh,12,16,260,149.7899996,9566.640016,7837.830005,10321.33001,10132.71002,10342.57002,5522.870008,7637.540007,12520.75,9781.700028,8040.479995,11386.02006,3720.159999,4012.82,8806.860013,6721.980006,7161.560006,10240.85003,4794.030004,4413.640002,8588.970009,10416.71002,9030.440012,2561.719996
Anugul,Odisha,21,15,384,25364.19998,33492.00998,38145.34998,41439.56997,36657.09997,25297.86999,11573.30999,16799.83998,20730.85999,36020.58997,34846.75999,37658.49998,28936.46999,33104.65,32877.10997,31224.43999,33933.52999,33331.65,14320.76001,21282.22001,23924.50999,34626.69999,29259.76004,26581.55999
Anuppur,Madhya Pradesh,23,44,461,8182.409993,15716.53999,14307.72998,16039.75998,14322.92997,5037.939988,6302.089994,7578.309988,11068.94998,14676.64998,15590.89999,18133.95998,12564.42999,13339.15,14045.75998,14884.32998,16756.97999,13356.29998,9431.39,9517.360005,9751.009994,16384.31998,13457.54999,12814.27999
Araria,Bihar,10,7,209,12897.00998,18638.05,19409.89999,18328.89999,12513.25999,11563.70999,2368.459999,13546.57998,12567.76999,14344.35999,15673.37999,24817.61997,14618.36999,18138.66999,17868.74998,15234.86999,13061.31999,13588.94999,8997.95999,8848.789991,10245.07998,19880.30999,16797.19999,14875.62999
Ariyalur,Tamil Nadu,33,15,616,7525.900003,11481.41999,11334.84999,11031.22,10913.32,12364.46,5286.449989,4806.070005,10048.27998,10883.16999,9942.619993,10155.33998,7287.499992,7728.539993,9874.799992,9936.489988,10166.23999,7122.909997,10476.78999,1547.219999,8442.64,8663.429991,7624.649993,7286.159994
Ashoknagar,Madhya Pradesh,23,42,459,10117.64,17856.93998,18177.92996,35931.19998,18050.56996,11378.10999,15555.14998,11424.96997,11534.55998,18506.79998,19097.84997,20988.09998,14556.3,13775.32999,17164.91998,26360.72996,25037.66998,17016.38997,9028.35,10460.05998,12133.72997,18235.99996,14560.59998,12985.73999
Auraiya,Uttar Pradesh,9,31,162,15491.78,19709.30003,18010.86002,19245.43,21030.45995,16489.28998,16402.88999,11864.75001,14710.33999,31011.84997,22482.82002,20681.03003,21803.79998,20635.47001,23422.22998,21988.21997,21816.86001,21507.0299,12901.56003,10848.09998,10072.79998,17348.34999,18705.31999,18672.82003
